"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Venezuela","VEN","Poland","POL",2010-06-20,"Presidential",136,NA,NA,97,97,97,NA,57,"KOMOROWSKI Bronislaw Maria",39,"KACZYNSKI Jaroslaw Aleksander",1,"MORAWIECKI Kornel Andrzej",0,"JUREK Marek",0,"KORWIN-MIKKE Janusz Ryszard",0,"LEPPER Andrzej Zbigniew",0,"NAPIERALSKI Grzegorz Bernard",0,"OLECHOWSKI Andrzej Marian",0,"PAWLAK Waldemar",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",57
"Vietnam","VNM","Poland","POL",2010-06-20,"Presidential",32,NA,NA,26,26,26,NA,23,"KOMOROWSKI Bronislaw Maria",2,"KACZYNSKI Jaroslaw Aleksander",1,"NAPIERALSKI Grzegorz Bernard",0,"JUREK Marek",0,"KORWIN-MIKKE Janusz Ryszard",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"OLECHOWSKI Andrzej Marian",0,"PAWLAK Waldemar",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",23
"Yemen","YEM","Poland","POL",2010-06-20,"Presidential",28,NA,NA,9,9,9,NA,6,"KOMOROWSKI Bronislaw Maria",2,"KACZYNSKI Jaroslaw Aleksander",1,"KORWIN-MIKKE Janusz Ryszard",0,"JUREK Marek",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"NAPIERALSKI Grzegorz Bernard",0,"OLECHOWSKI Andrzej Marian",0,"PAWLAK Waldemar",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",6
"South Africa","ZAF","Poland","POL",2010-06-20,"Presidential",453,NA,NA,410,409,409,NA,253,"KOMOROWSKI Bronislaw Maria",126,"KACZYNSKI Jaroslaw Aleksander",6,"OLECHOWSKI Andrzej Marian",5,"JUREK Marek",5,"KORWIN-MIKKE Janusz Ryszard",4,"NAPIERALSKI Grzegorz Bernard",4,"PAWLAK Waldemar",3,"LEPPER Andrzej Zbigniew",2,"MORAWIECKI Kornel Andrzej",1,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",253
"Afghanistan","AFG","Poland","POL",2005-10-09,"Presidential",113,NA,NA,103,99,99,4,31,"Tusk Donald Franciszek",30,"Borowski Marek Stefan",22,"Kaczynski Lech Aleksander",7,"Lepper Andrzej Zbigniew",4,"Bochniarz Henryka Teodora",4,"Korwin-Mikke Janusz Ryszard",1,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",31
"Algeria","DZA","Poland","POL",2005-10-09,"Presidential",222,NA,NA,50,50,50,0,20,"Tusk Donald Franciszek",16,"Kaczynski Lech Aleksander",6,"Borowski Marek Stefan",4,"Bochniarz Henryka Teodora",3,"Korwin-Mikke Janusz Ryszard",1,"Tyminski Stanislaw",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",20
"Angola","AGO","Poland","POL",2005-10-09,"Presidential",31,NA,NA,18,18,18,0,12,"Tusk Donald Franciszek",3,"Kaczynski Lech Aleksander",2,"Borowski Marek Stefan",1,"Korwin-Mikke Janusz Ryszard",0,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",12
"Saudi Arabia","SAU","Poland","POL",2005-10-09,"Presidential",39,NA,NA,34,34,34,0,22,"Tusk Donald Franciszek",6,"Kaczynski Lech Aleksander",3,"Borowski Marek Stefan",2,"Korwin-Mikke Janusz Ryszard",1,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",22
"Argentina","ARG","Poland","POL",2005-10-09,"Presidential",641,NA,NA,149,145,145,4,60,"Kaczynski Lech Aleksander",59,"Tusk Donald Franciszek",9,"Borowski Marek Stefan",3,"Bochniarz Henryka Teodora",3,"Kalinowski Jaroslaw",2,"Ilasz Liwiusz Marian",2,"Korwin-Mikke Janusz Ryszard",2,"Lepper Andrzej Zbigniew",2,"Pyszko Jan",2,"Tyminski Stanislaw",1,"Bubel Leszek Henryk",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",59
"Armenia","ARM","Poland","POL",2005-10-09,"Presidential",19,NA,NA,17,17,17,0,10,"Tusk Donald Franciszek",4,"Kaczynski Lech Aleksander",2,"Bochniarz Henryka Teodora",1,"Korwin-Mikke Janusz Ryszard",0,"Borowski Marek Stefan",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",10
"Australia","AUS","Poland","POL",2005-10-09,"Presidential",899,NA,NA,769,764,764,5,373,"Kaczynski Lech Aleksander",308,"Tusk Donald Franciszek",36,"Borowski Marek Stefan",21,"Korwin-Mikke Janusz Ryszard",6,"Bochniarz Henryka Teodora",6,"Lepper Andrzej Zbigniew",5,"Bubel Leszek Henryk",4,"Kalinowski Jaroslaw",4,"Pyszko Jan",1,"Tyminski Stanislaw",0,"Ilasz Liwiusz Marian",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",308
"Austria","AUT","Poland","POL",2005-10-09,"Presidential",2535,NA,NA,2101,2096,2096,5,988,"Tusk Donald Franciszek",836,"Kaczynski Lech Aleksander",134,"Borowski Marek Stefan",53,"Lepper Andrzej Zbigniew",36,"Bochniarz Henryka Teodora",28,"Korwin-Mikke Janusz Ryszard",12,"Kalinowski Jaroslaw",6,"Tyminski Stanislaw",2,"Bubel Leszek Henryk",1,"Pyszko Jan",0,"Ilasz Liwiusz Marian",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",988
"Azerbaijan","AZE","Poland","POL",2005-10-09,"Presidential",28,NA,NA,28,28,28,0,22,"Tusk Donald Franciszek",5,"Kaczynski Lech Aleksander",1,"Ilasz Liwiusz Marian",0,"Bochniarz Henryka Teodora",0,"Borowski Marek Stefan",0,"Bubel Leszek Henryk",0,"Kalinowski Jaroslaw",0,"Korwin-Mikke Janusz Ryszard",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",22
"Belgium","BEL","Poland","POL",2005-10-09,"Presidential",3899,NA,NA,3830,3809,3809,21,2181,"Tusk Donald Franciszek",1055,"Kaczynski Lech Aleksander",284,"Borowski Marek Stefan",142,"Lepper Andrzej Zbigniew",64,"Bochniarz Henryka Teodora",49,"Korwin-Mikke Janusz Ryszard",26,"Kalinowski Jaroslaw",4,"Tyminski Stanislaw",2,"Bubel Leszek Henryk",2,"Pyszko Jan",0,"Ilasz Liwiusz Marian",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",2181
"Belarus","BLR","Poland","POL",2005-10-09,"Presidential",374,NA,NA,265,263,263,2,122,"Kaczynski Lech Aleksander",89,"Tusk Donald Franciszek",25,"Borowski Marek Stefan",8,"Lepper Andrzej Zbigniew",6,"Korwin-Mikke Janusz Ryszard",5,"Bochniarz Henryka Teodora",3,"Slomka Adam Andrzej",2,"Kalinowski Jaroslaw",1,"Bubel Leszek Henryk",1,"Pyszko Jan",1,"Tyminski Stanislaw",0,"Ilasz Liwiusz Marian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",89
"Bosnia","BIH","Poland","POL",2005-10-09,"Presidential",288,NA,NA,127,125,125,2,65,"Tusk Donald Franciszek",25,"Kaczynski Lech Aleksander",13,"Lepper Andrzej Zbigniew",9,"Borowski Marek Stefan",6,"Korwin-Mikke Janusz Ryszard",3,"Bochniarz Henryka Teodora",3,"Kalinowski Jaroslaw",1,"Tyminski Stanislaw",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Pyszko Jan",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",65
"Brazil","BRA","Poland","POL",2005-10-09,"Presidential",219,NA,NA,176,172,172,4,72,"Tusk Donald Franciszek",69,"Kaczynski Lech Aleksander",11,"Borowski Marek Stefan",6,"Kalinowski Jaroslaw",4,"Tyminski Stanislaw",3,"Bochniarz Henryka Teodora",2,"Lepper Andrzej Zbigniew",2,"Pyszko Jan",1,"Bubel Leszek Henryk",1,"Korwin-Mikke Janusz Ryszard",1,"Slomka Adam Andrzej",0,"Ilasz Liwiusz Marian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",72
"Bulgaria","BGR","Poland","POL",2005-10-09,"Presidential",367,NA,NA,248,246,246,2,127,"Tusk Donald Franciszek",57,"Kaczynski Lech Aleksander",48,"Borowski Marek Stefan",5,"Bochniarz Henryka Teodora",3,"Kalinowski Jaroslaw",3,"Lepper Andrzej Zbigniew",2,"Korwin-Mikke Janusz Ryszard",1,"Ilasz Liwiusz Marian",0,"Bubel Leszek Henryk",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",127
"Chile","CHL","Poland","POL",2005-10-09,"Presidential",70,NA,NA,34,34,34,0,15,"Tusk Donald Franciszek",9,"Borowski Marek Stefan",8,"Kaczynski Lech Aleksander",1,"Kalinowski Jaroslaw",1,"Korwin-Mikke Janusz Ryszard",0,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",15
"China","CHN","Poland","POL",2005-10-09,"Presidential",363,NA,NA,289,288,288,1,204,"Tusk Donald Franciszek",34,"Kaczynski Lech Aleksander",28,"Borowski Marek Stefan",8,"Korwin-Mikke Janusz Ryszard",7,"Bochniarz Henryka Teodora",2,"Lepper Andrzej Zbigniew",2,"Tyminski Stanislaw",1,"Ilasz Liwiusz Marian",1,"Kalinowski Jaroslaw",1,"Pyszko Jan",0,"Bubel Leszek Henryk",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",204
"Croatia","HRV","Poland","POL",2005-10-09,"Presidential",96,NA,NA,75,73,73,2,49,"Tusk Donald Franciszek",13,"Kaczynski Lech Aleksander",8,"Borowski Marek Stefan",2,"Kalinowski Jaroslaw",1,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Korwin-Mikke Janusz Ryszard",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",49
"Cyprus","CYP","Poland","POL",2005-10-09,"Presidential",109,NA,NA,109,109,109,0,70,"Tusk Donald Franciszek",22,"Kaczynski Lech Aleksander",11,"Borowski Marek Stefan",4,"Korwin-Mikke Janusz Ryszard",2,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",70
"Czechia","CZE","Poland","POL",2005-10-09,"Presidential",602,NA,NA,495,492,492,3,308,"Tusk Donald Franciszek",91,"Kaczynski Lech Aleksander",71,"Borowski Marek Stefan",9,"Korwin-Mikke Janusz Ryszard",6,"Bochniarz Henryka Teodora",3,"Kalinowski Jaroslaw",3,"Lepper Andrzej Zbigniew",1,"Pyszko Jan",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",308
"Denmark","DNK","Poland","POL",2005-10-09,"Presidential",459,NA,NA,362,362,362,0,231,"Tusk Donald Franciszek",78,"Kaczynski Lech Aleksander",34,"Borowski Marek Stefan",6,"Bochniarz Henryka Teodora",6,"Lepper Andrzej Zbigniew",5,"Korwin-Mikke Janusz Ryszard",1,"Kalinowski Jaroslaw",1,"Slomka Adam Andrzej",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Pyszko Jan",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",231
"Egypt","EGY","Poland","POL",2005-10-09,"Presidential",237,NA,NA,195,192,192,3,127,"Tusk Donald Franciszek",34,"Kaczynski Lech Aleksander",24,"Borowski Marek Stefan",3,"Bochniarz Henryka Teodora",3,"Lepper Andrzej Zbigniew",1,"Tyminski Stanislaw",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Korwin-Mikke Janusz Ryszard",0,"Pyszko Jan",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",127
"Estonia","EST","Poland","POL",2005-10-09,"Presidential",64,NA,NA,59,59,59,0,34,"Tusk Donald Franciszek",19,"Kaczynski Lech Aleksander",4,"Borowski Marek Stefan",2,"Korwin-Mikke Janusz Ryszard",0,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",34
"Finland","FIN","Poland","POL",2005-10-09,"Presidential",289,NA,NA,250,249,249,1,144,"Tusk Donald Franciszek",65,"Kaczynski Lech Aleksander",20,"Borowski Marek Stefan",8,"Bochniarz Henryka Teodora",6,"Lepper Andrzej Zbigniew",5,"Korwin-Mikke Janusz Ryszard",1,"Ilasz Liwiusz Marian",0,"Bubel Leszek Henryk",0,"Kalinowski Jaroslaw",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",144
"France","FRA","Poland","POL",2005-10-09,"Presidential",5509,NA,NA,4178,4163,4163,15,2160,"Tusk Donald Franciszek",1555,"Kaczynski Lech Aleksander",228,"Borowski Marek Stefan",78,"Bochniarz Henryka Teodora",51,"Lepper Andrzej Zbigniew",43,"Korwin-Mikke Janusz Ryszard",28,"Kalinowski Jaroslaw",10,"Pyszko Jan",6,"Bubel Leszek Henryk",3,"Tyminski Stanislaw",1,"Ilasz Liwiusz Marian",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",2160
"Greece","GRC","Poland","POL",2005-10-09,"Presidential",715,NA,NA,545,538,538,7,308,"Tusk Donald Franciszek",154,"Kaczynski Lech Aleksander",44,"Borowski Marek Stefan",14,"Bochniarz Henryka Teodora",6,"Lepper Andrzej Zbigniew",5,"Korwin-Mikke Janusz Ryszard",3,"Tyminski Stanislaw",2,"Ilasz Liwiusz Marian",2,"Kalinowski Jaroslaw",0,"Bubel Leszek Henryk",0,"Pyszko Jan",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",308
"Georgia","GEO","Poland","POL",2005-10-09,"Presidential",35,NA,NA,31,31,31,0,23,"Tusk Donald Franciszek",4,"Borowski Marek Stefan",3,"Kaczynski Lech Aleksander",1,"Korwin-Mikke Janusz Ryszard",0,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",23
"Spain","ESP","Poland","POL",2005-10-09,"Presidential",2139,NA,NA,984,981,981,3,620,"Tusk Donald Franciszek",255,"Kaczynski Lech Aleksander",53,"Borowski Marek Stefan",20,"Korwin-Mikke Janusz Ryszard",12,"Bochniarz Henryka Teodora",10,"Lepper Andrzej Zbigniew",6,"Kalinowski Jaroslaw",4,"Tyminski Stanislaw",1,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Pyszko Jan",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",620
"Netherlands","NLD","Poland","POL",2005-10-09,"Presidential",1213,NA,NA,947,942,942,5,616,"Tusk Donald Franciszek",182,"Kaczynski Lech Aleksander",101,"Borowski Marek Stefan",16,"Bochniarz Henryka Teodora",13,"Lepper Andrzej Zbigniew",10,"Korwin-Mikke Janusz Ryszard",2,"Tyminski Stanislaw",1,"Kalinowski Jaroslaw",1,"Pyszko Jan",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Slomka Adam Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",616
"India","IND","Poland","POL",2005-10-09,"Presidential",61,NA,NA,49,48,48,1,25,"Tusk Donald Franciszek",13,"Kaczynski Lech Aleksander",7,"Borowski Marek Stefan",2,"Korwin-Mikke Janusz Ryszard",1,"Lepper Andrzej Zbigniew",0,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",25
"Indonesia","IDN","Poland","POL",2005-10-09,"Presidential",33,NA,NA,23,22,22,1,15,"Tusk Donald Franciszek",3,"Borowski Marek Stefan",3,"Kaczynski Lech Aleksander",1,"Bochniarz Henryka Teodora",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Korwin-Mikke Janusz Ryszard",0,"Lepper Andrzej Zbigniew",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",15
"Iraq","IRQ","Poland","POL",2005-10-09,"Presidential",1499,NA,NA,1008,995,995,13,319,"Tusk Donald Franciszek",271,"Borowski Marek Stefan",266,"Kaczynski Lech Aleksander",77,"Lepper Andrzej Zbigniew",38,"Korwin-Mikke Janusz Ryszard",10,"Kalinowski Jaroslaw",9,"Bochniarz Henryka Teodora",2,"Tyminski Stanislaw",1,"Bubel Leszek Henryk",1,"Pyszko Jan",1,"Slomka Adam Andrzej",0,"Ilasz Liwiusz Marian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",319
"Iran","IRN","Poland","POL",2005-10-09,"Presidential",55,NA,NA,49,49,49,0,26,"Tusk Donald Franciszek",10,"Borowski Marek Stefan",7,"Kaczynski Lech Aleksander",3,"Lepper Andrzej Zbigniew",2,"Bochniarz Henryka Teodora",1,"Korwin-Mikke Janusz Ryszard",0,"Bubel Leszek Henryk",0,"Ilasz Liwiusz Marian",0,"Kalinowski Jaroslaw",0,"Pyszko Jan",0,"Slomka Adam Andrzej",0,"Tyminski Stanislaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tusk Donald Franciszek",26
